"Facility ID","Measure ID","Value","Footnote","Start Date","End Date"
030065,MSPB-1,1.042658,,01/01/2024,12/31/2024
030069,MSPB-1,0.952761,,01/01/2024,12/31/2024
030071,MSPB-1,0.719499,,01/01/2024,12/31/2024
030073,MSPB-1,0.794793,,01/01/2024,12/31/2024
030074,MSPB-1,N/A,1,01/01/2024,12/31/2024
030078,MSPB-1,0.829569,,01/01/2024,12/31/2024
030083,MSPB-1,0.966749,,01/01/2024,12/31/2024
030084,MSPB-1,0.624033,,01/01/2024,12/31/2024
030085,MSPB-1,1.011904,,01/01/2024,12/31/2024
030087,MSPB-1,0.990084,,01/01/2024,12/31/2024
030088,MSPB-1,1.007676,,01/01/2024,12/31/2024
030089,MSPB-1,1.048839,,01/01/2024,12/31/2024
030092,MSPB-1,1.021009,,01/01/2024,12/31/2024
030093,MSPB-1,0.962239,,01/01/2024,12/31/2024
030094,MSPB-1,1.019812,,01/01/2024,12/31/2024
030101,MSPB-1,0.901289,,01/01/2024,12/31/2024
030103,MSPB-1,0.936661,,01/01/2024,12/31/2024
030105,MSPB-1,1.003892,,01/01/2024,12/31/2024
030107,MSPB-1,0.848901,,01/01/2024,12/31/2024
030108,MSPB-1,0.957479,,01/01/2024,12/31/2024
030110,MSPB-1,1.019896,,01/01/2024,12/31/2024
030111,MSPB-1,0.943240,,01/01/2024,12/31/2024
030112,MSPB-1,0.953431,,01/01/2024,12/31/2024
030113,MSPB-1,0.711699,,01/01/2024,12/31/2024
030114,MSPB-1,0.953548,,01/01/2024,12/31/2024
030115,MSPB-1,0.972725,,01/01/2024,12/31/2024
030117,MSPB-1,0.856544,,01/01/2024,12/31/2024
030119,MSPB-1,1.030456,,01/01/2024,12/31/2024
030121,MSPB-1,0.964770,,01/01/2024,12/31/2024
030122,MSPB-1,0.993500,,01/01/2024,12/31/2024
030123,MSPB-1,0.944333,,01/01/2024,12/31/2024
030130,MSPB-1,0.905759,,01/01/2024,12/31/2024
030134,MSPB-1,0.775641,,01/01/2024,12/31/2024
030136,MSPB-1,0.838069,,01/01/2024,12/31/2024
030138,MSPB-1,1.089637,,01/01/2024,12/31/2024
030139,MSPB-1,0.936676,,01/01/2024,12/31/2024
030146,MSPB-1,0.958216,,01/01/2024,12/31/2024
030147,MSPB-1,1.000416,,01/01/2024,12/31/2024
030148,MSPB-1,0.910263,,01/01/2024,12/31/2024
030152,MSPB-1,0.735891,,01/01/2024,12/31/2024
030153,MSPB-1,N/A,1,01/01/2024,12/31/2024
030154,MSPB-1,0.982504,,01/01/2024,12/31/2024
030155,MSPB-1,N/A,1,01/01/2024,12/31/2024
040001,MSPB-1,0.930834,,01/01/2024,12/31/2024
040002,MSPB-1,1.124833,,01/01/2024,12/31/2024
040004,MSPB-1,1.035397,,01/01/2024,12/31/2024
040007,MSPB-1,1.061998,,01/01/2024,12/31/2024
040010,MSPB-1,1.022445,,01/01/2024,12/31/2024
040011,MSPB-1,0.845600,,01/01/2024,12/31/2024
040014,MSPB-1,1.042834,,01/01/2024,12/31/2024
040016,MSPB-1,0.982018,,01/01/2024,12/31/2024
040017,MSPB-1,1.025115,,01/01/2024,12/31/2024
040018,MSPB-1,N/A,1,01/01/2024,12/31/2024
040019,MSPB-1,0.969501,,01/01/2024,12/31/2024
040020,MSPB-1,1.057786,,01/01/2024,12/31/2024
040022,MSPB-1,1.006779,,01/01/2024,12/31/2024
040026,MSPB-1,1.105188,,01/01/2024,12/31/2024
040027,MSPB-1,0.994297,,01/01/2024,12/31/2024
040029,MSPB-1,1.033192,,01/01/2024,12/31/2024
040036,MSPB-1,1.053887,,01/01/2024,12/31/2024
040039,MSPB-1,1.123530,,01/01/2024,12/31/2024
040041,MSPB-1,1.043180,,01/01/2024,12/31/2024
040050,MSPB-1,1.043269,,01/01/2024,12/31/2024
040051,MSPB-1,1.002629,,01/01/2024,12/31/2024
040055,MSPB-1,1.007464,,01/01/2024,12/31/2024
040062,MSPB-1,1.073257,,01/01/2024,12/31/2024
040067,MSPB-1,1.158048,,01/01/2024,12/31/2024
040069,MSPB-1,1.163764,,01/01/2024,12/31/2024
040071,MSPB-1,1.096407,,01/01/2024,12/31/2024
040072,MSPB-1,0.976296,,01/01/2024,12/31/2024
040076,MSPB-1,1.010097,,01/01/2024,12/31/2024
040078,MSPB-1,1.178174,,01/01/2024,12/31/2024
040084,MSPB-1,1.008176,,01/01/2024,12/31/2024
040088,MSPB-1,1.102475,,01/01/2024,12/31/2024
040114,MSPB-1,1.091877,,01/01/2024,12/31/2024
040118,MSPB-1,1.009848,,01/01/2024,12/31/2024
040119,MSPB-1,0.991929,,01/01/2024,12/31/2024
040134,MSPB-1,0.936721,,01/01/2024,12/31/2024
040137,MSPB-1,1.110306,,01/01/2024,12/31/2024
040147,MSPB-1,0.912927,,01/01/2024,12/31/2024
040153,MSPB-1,1.174955,,01/01/2024,12/31/2024
040154,MSPB-1,1.080483,,01/01/2024,12/31/2024
040156,MSPB-1,0.954977,,01/01/2024,12/31/2024
040161,MSPB-1,0.987188,,01/01/2024,12/31/2024
040164,MSPB-1,0.821937,,01/01/2024,12/31/2024
050002,MSPB-1,1.120877,,01/01/2024,12/31/2024
